"No","대분류","중분류","소분류","성숙도","성숙도 판단 근거","트랙","HR 중요도","HR 시급도","실행 제안 구간","경영진 중요도","합의 우선순위","비고","HRM 기능"
"1","1. 인재 확보","인력계획","사업계획 연동 인력 계획 수립","2","월별 루틴 인력계획 취합 및 경영진 싱크","A","상","상","26.3Q","","","","F1. 인사기획·HR전략"
"2","1. 인재 확보","인력계획","인건비 예산 연계","1","급여 지급시 관리되고 있으나, 사후보고에 머무름. ","B","상","상","26.3~4Q","","","","F1. 인사기획·HR전략"
"3","1. 인재 확보","인력계획","결원·대체충원 기준","1","채용단의 기능은 수립되었으나, 기준에 따라 진행하고 있진 않음","A","상","상","26.3Q","","","","F1. 인사기획·HR전략"
"4","1. 인재 확보","인력계획","고용형태 포트폴리오(정규·계약·인턴·아웃소싱)","2","비정규직 관리방안에 따라 운영되었으나, 전체 TO 고려한 기준까지는 미비","A","중","상","26.3Q","","","","F1. 인사기획·HR전략"
"5","1. 인재 확보","인력계획","인력 생산성 분석(1인당 매출·인건비 효율)","2","급여기안을 통한 보고","A","상","상","26.3Q","","","","F1. 인사기획·HR전략"
"6","1. 인재 확보","인력계획","적정인력 산정·정원(HC) 관리","1","비율 기반 배분에 의존, 산정 기준 부재","A","상","상","26.3Q","","","","F1. 인사기획·HR전략"
"7","1. 인재 확보","인력계획","인력 운영 시나리오(증원·재배치·감축)","1","근거 불충분 – 사업 시나리오 연동 필요","A","상","중","26.4Q","","","","F1. 인사기획·HR전략"
"8","1. 인재 확보","채용 전략","직군별 채용 난이도 진단","2","우선순위 및 소서배분 등 실무단에서 일부 F/UP","A","중","중","26.4Q","","","","F2. 채용·확보"
"9","1. 인재 확보","채용 전략","채널 포트폴리오(공고·소싱·추천·에이전시)","2","채널별 관리, 유료상품, 소싱 등 유연하게 활용","A","상","상","26.3Q","","","","F2. 채용·확보"
"10","1. 인재 확보","채용 전략","채용 리드타임·비용 목표 설정","3","채용보고서 통한 리드타임, 비용, 주요지표 관리","A","상","중","26.4Q","","","","F2. 채용·확보"
"11","1. 인재 확보","채용 전략","리더 채용 별도 트랙","1","콘마인턴을 BP로 경력직/리더십 복수채용 필요","A","상","상","26.3~4Q","","","","F2. 채용·확보"
